,bed_availability,budget_range,location,ownership,name,services,specialty,address
Unavailable,93,391065,Thiruvottyur,Private,SUMITHIRA CLINIC,Inpatient,Pediatrics,K.H. ROAD KATHIVAKKAM THALANKUPPAM 600057
Immediate,148,88356,Thiruvottyur,Private,URBAN HEALTHPOST,OPD,Cardiology,"KAMARAJ NAGAR KATHIVAKKAM KAMARAJ NAGAR
600057"
Unavailable,111,235965,Thiruvottyur,Private,SRI VEGNESH CLINIC,Emergency,Gastro-intestinal,"C-15,THLANKUPPAM MAIN ROAD KATHIVAKKAM
ULAGANATHAPURAM 600057"
Scheduled,81,322043,Thiruvottyur,Private,S.S. CLINIC,Laboratory,Neurology,"6,6TH STREET KATHIVAKKAM ULAGANATHAPURAM
600057"
Scheduled,172,442104,Thiruvottyur,Private,JAI CLINIC,Emergency,ENT,"3,7TH STREET ULAGANATHAPURAM
THALANKUPPAM 600057"
Unavailable,95,256880,Thiruvottyur,Private,JAI ASHWIN CLINIC,OPD,Orthopedics,"4, SATHYAVANI MUTHU NAGAR 7TH STREET,
ENNORE, CHENNAI 600057"
Unavailable,90,337508,Thiruvottyur,Private,SRI VEGNESH CLINIC,Inpatient,Orthopedics,"C-15,THALANKUPPAM MAIN ROAD KATHIVAKKAM
ULAGANATHAPURAM 600057"
Immediate,101,20616,Thiruvottyur,Government,RAJA CLINIC,Daycare,Pediatrics,"GIRIYAPPATHOTTAM KATHIVAKKAM SIVANPADAI
VEEDHI 600057"
Immediate,41,389715,Thiruvottyur,Private,SRI VENUGOPAL CLINIC,Emergency,Neurology,R.S. ROAD KATHIVAKKAM VALLUVAR NAGAR 600057
Scheduled,76,339105,Thiruvottyur,Private,SRI VENKATESWARA CLINIC,Laboratory,Pediatrics,"K.H. ROAD KATHIVAKKAM SANJAIGANDHI NAGAR
600057"
Scheduled,154,381850,Thiruvottyur,Private,THANGAMMAL CLINIC,Laboratory,Orthopedics,K.H. ROAD KATHIVAKKAM KATTUKUPPAM 600057
Immediate,111,267391,Thiruvottyur,Private,MATERNITY CENTRE,Laboratory,Gastro-intestinal,"VILLAGE STREET KATHIVAKKAM SIVANPADAI
VEEDHI 600057"
Unavailable,48,156123,Thiruvottyur,Private,VIJAYA CLINIC,Inpatient,ENT,"THLANKUPPAM KATHIVAKKAM THALANKUPPAM
600057"
Scheduled,165,383942,Thiruvottyur,Private,IPP-V HOSPITAL,Emergency,General,"03/592,K.H. ROAD KATHIVAKKAM K.H.ROAD 600057"
Immediate,119,445249,Thiruvottyur,Private,IPP-V HOSPITAL,Daycare,Psychiatry,"KAMARAJ NAGAR 5TH STREET KATHIVAKKAM
KAMARAJ NAGAR 600057"
Unavailable,36,24969,Thiruvottyur,Government,VIJAYA CLINIC,Home Nursing,Cardiology,"GANDHI NAGAR KATHIVAKKAM GANDHI NAGAR
600057"
Unavailable,82,455141,Thiruvottyur,Private,SELVA CLINIC & MATERNITY CENTR,OPD,Psychiatry,"72,KAMARAJ NAGAR THIRUVOTTIYUR ERNAVOOR
600019"
Unavailable,177,303800,Thiruvottyur,Private,KUPPAM CWC,Laboratory,Pediatrics,"RAMANATHAPURAM THIRUVOTTIYUR CHENNAI
600019"
Unavailable,105,311872,Thiruvottyur,Private,SELVA CLINIC,Home Nursing,Cardiology,"202,KAMARAJ NAGAR 3rd St THIRUVOTTIYUR
ERNAVOOR 600019"
Scheduled,51,224943,Thiruvottyur,Private,RAMANATHAPURAM MATERNITY CENTR,OPD,Psychiatry,"1,ERNAVOOR THIRUVOTTIYUR WIMCO 600057"
Scheduled,143,206462,Thiruvottyur,Private,RAMANATHAPURAM MATERNITY CENTE,Daycare,Orthopedics,"1,THIRUVOTTIYUR THIRUVOTTIYUR WIMCO 600019"
Immediate,39,82756,Thiruvottyur,Private,S.S.HOSPITAL & SCAN CENTRE,Home Nursing,General,"11,JEEVANLAL NAGAR THIRUVOTTIYUR AJAX 600019"
Immediate,29,426459,Thiruvottyur,Private,RAMANATHAPURAM MATERNITY CENTR,OPD,Neurology,"1,RAMANATHAPURAM THIRUVOTTIYUR WIMCO
600057"
Scheduled,117,113634,Thiruvottyur,Private,SUGAM HOSPITAL,Emergency,Pediatrics,"349,T.H ROAD THIRUVOTTIYUR PERIYAR NAGAR
600019"
Scheduled,41,163757,Thiruvottyur,Private,AAKASH HOSPITAL,Daycare,General,"395,T.H.ROAD THIRUVOTTIYUR AJAX 600019"
Unavailable,40,263657,Thiruvottyur,Private,SUGAM HOSPITAL,Laboratory,Pediatrics,"349,T. H. ROAD THIRUVOTTIYUR PERIYAR NAGAR
600019"
Immediate,60,113581,Thiruvottyur,Private,PRASATH ENT 7 GYNEC CLINIC,Inpatient,Psychiatry,"914,T.H. ROAD THIRUVOTTIYUR STATE BAND OF
INDIA 600019"
Unavailable,65,43619,Thiruvottyur,Government,VINAYAK CLINIC,Inpatient,ENT,"76,SOUTH MADA STREET THIRUVOTTIYUR THERADI
600019"
Immediate,163,387594,Thiruvottyur,Private,MUNICIPAL MATERNITY HOME,Daycare,Neurology,"941A,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019"
Unavailable,82,231568,Thiruvottyur,Private,MUNICIPAL MATERNITY HOME,Daycare,Gynaecology,"276,T. H. ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019"
Immediate,195,175681,Thiruvottyur,Private,LAKSHMI RAM  HOSPITAL,Inpatient,Neurology,"16,SANNATHI STREET THERADI THIRUVOTTIYUR
THERADI 600019"
Immediate,139,64850,Thiruvottyur,Private,S.S.S HOSPITAL,Laboratory,Orthopedics,"924,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019"
Unavailable,25,470156,Thiruvottyur,Private,JAGADEESH NURSHING HOME,Emergency,Gastro-intestinal,"941A,T. H. ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019"
Scheduled,159,402415,Thiruvottyur,Private,MUNICIPAL MATERNITY HOME,OPD,Neurology,"276,T.H.ROAD THIRUVOTTIYUR ELLAIAMMAN KOIL
600019"
Scheduled,152,263840,Thiruvottyur,Private,SSS HOSPITAL,Inpatient,General,"924, TH ROAD, THIRUVOTTIYUR, CHENNAI 600019"
